Obs,Real_Goal,STime,Cost,Prob,Results
4,0,138544516/21559363/17280613/,55/80/55/,0.3788008690215915/0.242398261956817/0.3788008690215915/,0/2/
6,0,141873324/25337418/12953663/,60/64/60/,0.3405379870137671/0.3189240259724657/0.3405379870137671/,0/1/2/
8,0,132776360/25582300/20755146/,77/115/77/,0.3825032672045078/0.23499346559098452/0.3825032672045078/,0/2/
1,1,136106805/16139859/12761853/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
3,1,143576665/32360792/15507439/,54/54/50/,0.32450789483641307/0.32450789483641307/0.35098421032717386/,0/1/2/
5,1,140646114/21592607/10071692/,90/62/70/,0.254242142518129/0.3965220195531659/0.3492358379287051/,1/
7,1,137217814/21498961/14770850/,58/54/59/,0.32707318851372763/0.3517466726968636/0.32118013878940865/,0/1/2/
9,1,148767107/24117801/19167717/,66/62/87/,0.35944299195266477/0.38300484994692846/0.25755215810040677/,0/1/
1,2,125551100/19171359/11589926/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
3,2,155049322/21441689/17692514/,52/61/53/,0.35396563954269433/0.29868470665500596/0.3473496538022997/,0/2/
4,2,164071961/33838225/14328246/,59/80/56/,0.3641836896272289/0.2519516816264195/0.3838646287463516/,0/2/
5,2,148391669/19255034/15984141/,59/120/66/,0.4441127021590554/0.1606794999253676/0.395207797915577/,0/
7,2,141339732/24198547/18365780/,67/357/69/,0.5037599249322816/0.007080849828757368/0.4891592252389611/,0/2/
2,0,113898239/18586658/13979002/,53/50/53/,0.3267345947460887/0.3465308105078227/0.3267345947460887/,0/1/2/
4,0,129618920/24688671/12826904/,52/65/59/,0.3761154774439235/0.29430398572955957/0.3295805368265169/,0/
6,0,133268785/23473045/16665225/,79/57/62/,0.26302929216609217/0.38435851424072875/0.3526121935931791/,1/2/
8,0,137529699/24126291/16693262/,72/57/127/,0.37277951400803583/0.4828025733492767/0.1444179126426876/,1/
11,0,145885842/16091253/21336466/,102/57/67/,0.19996492822100043/0.43441663463333974/0.36561843714565984/,1/
1,1,128223293/14162559/11802133/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
3,1,135798327/15492640/17075995/,52/54/50/,0.33316252455544454/0.3203501916608424/0.3464872837837131/,0/1/2/
5,1,123354326/22224577/16347374/,74/90/70/,0.350116721950839/0.2794754567584573/0.37040782129070365/,0/2/
7,1,143964967/26053362/16859258/,171/239/161/,0.3675278176430707/0.24154261656581041/0.3909295657911189/,0/2/
9,1,141161663/27675290/17664263/,92/63/66/,0.24543499337929855/0.38612344321652137/0.3684415634041801/,1/2/
1,2,123198847/19139072/11442422/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
3,2,121553101/21750424/11226512/,54/56/50/,0.3286087694047565/0.31597155892822637/0.35541967166701705/,0/2/
4,2,147128168/28263682/14384427/,50/68/56/,0.38585780399331004/0.27111084019976717/0.34303135580692273/,0/
6,2,131773996/24799150/12672786/,55/72/54/,0.36331108222559805/0.26671176248145456/0.36997715529294734/,0/2/
8,2,128277846/34752930/23080934/,55/65/54/,0.3506187154093066/0.2923293771042807/0.35705190748641275/,0/2/
1,0,119419259/13548198/12368131/,50/51/50/,0.33550481664848303/0.32899036670303383/0.33550481664848303/,0/1/2/
3,0,122730547/20530801/17627585/,52/51/52/,0.3311897768842208/0.3376204462315584/0.3311897768842208/,0/1/2/
5,0,135390536/20377195/13489649/,56/55/74/,0.36454707422953747/0.3711153138712555/0.26433761189920707/,0/1/
7,0,129812812/19136369/24759403/,62/55/171/,0.4393805243836317/0.49788336151300305/0.06273611410336516/,1/
